Sample,variable,value
10A-HF | 30-10-2017,log.Basal.Glyco,0.427495568365134
11B_2-DB2 | 14-01-2019,log.Glyco.Rsrv.Cpcty,0.45746922985959904
12B-HF | 22-01-2018,log.Glyco.Rsrv.Cpcty,0.5391183293284119
13A-HF | 26-02-2018,log.Glyco.Rsrv.Cpcty,0.48042950971080556
13B-HF | 13-04-2018,log.Glyco.Rsrv.Cpcty,0.5589339438636616
14A-HF | 22-01-2018,log.Glyco.Rsrv.Cpcty,0.46845105508936147
14B-HF | 12-03-2018,log.Glyco.Rsrv.Cpcty,0.5067161106779672
15A-HF | 15-01-2018,log.Glyco.Rsrv.Cpcty,0.565735253378596
17A-HF | 12-03-2018,log.Glyco.Rsrv.Cpcty,0.38094156545770597
17B-HF | 30-04-2018,log.Glyco.Rsrv.Cpcty,0.5075751002288413
18A-HF | 12-02-2018,log.Glyco.Rsrv.Cpcty,0.707432845238146
18B-HF | 03-04-2018,log.Glyco.Rsrv.Cpcty,0.28226507847281423
19B-HF | 09-04-2018,log.Glyco.Rsrv.Cpcty,0.7234406691250457
1A-HF | 14-08-2017,log.Glyco.Rsrv.Cpcty,0.3821039093111245
1B- | 02-10-2017,log.Glyco.Rsrv.Cpcty,0.07684564739163768
22A-HF | 09-04-2018,log.Glyco.Rsrv.Cpcty,0.4486503494010008
22B-HF | 28-05-2018,log.Glyco.Rsrv.Cpcty,0.5231006260086555
22Bb-HF | 28-05-2018,log.Glyco.Rsrv.Cpcty,0.5329034802313126
24A-HF | 12-04-2018,log.Glyco.Rsrv.Cpcty,0.3516313515507199
24B-HF | 04-06-2018,log.Glyco.Rsrv.Cpcty,0.5186520274792388
25A-HF | 05-03-2018,log.Glyco.Rsrv.Cpcty,0.5643493406699922
25B-HF | 23-04-2018,log.Glyco.Rsrv.Cpcty,0.8302261811702896
26A-HF | 23-04-2018,log.Glyco.Rsrv.Cpcty,0.8845184555126089
26B-HF | 11-06-2018,log.Glyco.Rsrv.Cpcty,0.48388853785022334
27A-HF | 30-04-2018,log.Glyco.Rsrv.Cpcty,0.8026410370398018
27B-HF | 18-06-2018,log.Glyco.Rsrv.Cpcty,0.8439439198076841
27Bb-HF | 18-06-2018,log.Glyco.Rsrv.Cpcty,0.8061841505836966
29A-HF | 08-05-2018,log.Glyco.Rsrv.Cpcty,0.09876080755038608
2B_2-DB2 | 12-02-2018,log.Glyco.Rsrv.Cpcty,0.5443608834719029
31A-HF | 13-08-2018,log.Glyco.Rsrv.Cpcty,0.6208226000886787
31Bt-HF | 01-10-2018,log.Glyco.Rsrv.Cpcty,0.5102173917747757
32A-HF | 15-05-2018,log.Glyco.Rsrv.Cpcty,0.4794398511192628
32Ab- | 15-05-2018,log.Glyco.Rsrv.Cpcty,0.41021981762629034
32B-HF | 29-06-2018,log.Glyco.Rsrv.Cpcty,0.5440454727400308
33A-HF | 20-08-2018,log.Glyco.Rsrv.Cpcty,0.5434670301967697
33B-HF | 08-10-2018,log.Glyco.Rsrv.Cpcty,0.227068688655788
34B-HF | 14-11-2018,log.Glyco.Rsrv.Cpcty,0.6573896307992682
36A-HF | 27-08-2018,log.Glyco.Rsrv.Cpcty,0.3830980047200878
36B-HF | 15-10-2018,log.Glyco.Rsrv.Cpcty,0.48946695115903704
39 post-ConBis  | 23-11-2018,log.Glyco.Rsrv.Cpcty,0.3623635498319402
39A-HF | 15-10-2018,log.Glyco.Rsrv.Cpcty,0.32590597585624437
3A-HF | 28-08-2017,log.Glyco.Rsrv.Cpcty,0.40981503949594256
3Ab-HF | 28-08-2017,log.Glyco.Rsrv.Cpcty,0.4049642272529064
4 post-Conbis  | 13-11-2017,log.Glyco.Rsrv.Cpcty,0.6868617656359426
40A-HF | 07-01-2019,log.Glyco.Rsrv.Cpcty,0.7622147728526611
40B-HF | 25-02-2019,log.Glyco.Rsrv.Cpcty,0.47592400266703994
42B-HF | 19-11-2018,log.Glyco.Rsrv.Cpcty,0.2699502321610816
43A-HF | 15-10-2018,log.Glyco.Rsrv.Cpcty,0.6131584859617902
43B-HF | 05-12-2018,log.Glyco.Rsrv.Cpcty,0.5939287350003841
44A-HF | 29-10-2018,log.Glyco.Rsrv.Cpcty,0.5153992884918459
46A-HF | 19-11-2018,log.Glyco.Rsrv.Cpcty,0.40416261155590005
46B-HF | 07-01-2019,log.Glyco.Rsrv.Cpcty,0.7492722803918794
48 post-ConBis  | 21-12-2018,log.Glyco.Rsrv.Cpcty,0.20394308818416196
48 pre- | 05-11-2018,log.Glyco.Rsrv.Cpcty,0.6478450038581247
49A-HF | 05-12-2018,log.Glyco.Rsrv.Cpcty,0.527377264532066
49B-HF | 22-01-2019,log.Glyco.Rsrv.Cpcty,0.421169997014029
4A-HF | 25-09-2017,log.Glyco.Rsrv.Cpcty,0.17470442117272622
4Ab-HF | 25-09-2017,log.Glyco.Rsrv.Cpcty,0.10446469966573213
50B-HF | 14-01-2019,log.Glyco.Rsrv.Cpcty,0.4857801604988876
53 post-ConBis   | 20-02-2019,log.Glyco.Rsrv.Cpcty,0.4840620832658713
53A-HF | 02-01-2019,log.Glyco.Rsrv.Cpcty,0.47949043385284895
55A-HF | 21-01-2019,log.Glyco.Rsrv.Cpcty,0.27125814229417866
55B-HF | 25-02-2019,log.Glyco.Rsrv.Cpcty,0.6487322146251846
5A-HF | 18-09-2017,log.Glyco.Rsrv.Cpcty,0.323259249741902
5B-HF | 06-11-2017,log.Glyco.Rsrv.Cpcty,0.43061413849169483
7A-CHF | 23-11-2017,log.Glyco.Rsrv.Cpcty,0.25325569274263193
8A-HF | 23-10-2017,log.Glyco.Rsrv.Cpcty,-0.018258842188393132
8B-HF | 11-12-2017,log.Glyco.Rsrv.Cpcty,0.6426579668697103
9A_2-DB2 | 13-08-2018,log.Glyco.Rsrv.Cpcty,0.6287993562997123
Glycolysis-CONBIS-29POST-29POST | 25-06-2018,log.Glyco.Rsrv.Cpcty,0.9123931956933786
Glycolysis-DB-26-26 | 06-12-2017,log.Glyco.Rsrv.Cpcty,0.4521732555052802
Glycolysis-DB-26-26 | 19-02-2018,log.Glyco.Rsrv.Cpcty,0.5529421281730533
X-HC | 23-10-2017,log.Glyco.Rsrv.Cpcty,0.036875670637813496
10A-HF | 30-10-2017,log.Non.Glyco.Acid.,2.5892537291682665
10B-HF | 18-12-2017,log.Non.Glyco.Acid.,1.8363807356323103
11-HC | 18-09-2017,log.Non.Glyco.Acid.,1.4709895882303847
11A-HF | 28-11-2017,log.Non.Glyco.Acid.,2.091483475874833
11B-HF | 15-01-2018,log.Non.Glyco.Acid.,2.754891248267786
11B_2-DB2 | 14-01-2019,log.Non.Glyco.Acid.,2.26559561806047
12B-HF | 22-01-2018,log.Non.Glyco.Acid.,2.0374640036963405
13A-HF | 26-02-2018,log.Non.Glyco.Acid.,1.8080608134678742
13B-HF | 13-04-2018,log.Non.Glyco.Acid.,2.1791428162846227
14A-HF | 22-01-2018,log.Non.Glyco.Acid.,2.326021745399747
14B-HF | 12-03-2018,log.Non.Glyco.Acid.,1.6539834993854259
15A-HF | 15-01-2018,log.Non.Glyco.Acid.,2.1236597557828256
17A-HF | 12-03-2018,log.Non.Glyco.Acid.,1.1604807259220988
17B-HF | 30-04-2018,log.Non.Glyco.Acid.,2.2949347114499834
18A-HF | 12-02-2018,log.Non.Glyco.Acid.,2.262536266517561
18B-HF | 03-04-2018,log.Non.Glyco.Acid.,1.3619646792718387
19B-HF | 09-04-2018,log.Non.Glyco.Acid.,2.543294595432474
1A-HF | 14-08-2017,log.Non.Glyco.Acid.,2.279496164249009
1B- | 02-10-2017,log.Non.Glyco.Acid.,2.4727962229125
22A-HF | 09-04-2018,log.Non.Glyco.Acid.,2.017779900507705
22B-HF | 28-05-2018,log.Non.Glyco.Acid.,2.1339890685507026
22Bb-HF | 28-05-2018,log.Non.Glyco.Acid.,2.182940668048371
24A-HF | 12-04-2018,log.Non.Glyco.Acid.,1.5896054946149052
24B-HF | 04-06-2018,log.Non.Glyco.Acid.,2.7153630222457283
25A-HF | 05-03-2018,log.Non.Glyco.Acid.,1.3180480499814051
25B-HF | 23-04-2018,log.Non.Glyco.Acid.,2.9117270025513253
26A-HF | 23-04-2018,log.Non.Glyco.Acid.,2.934989754948808
26B-HF | 11-06-2018,log.Non.Glyco.Acid.,2.2307436295551404
27A-HF | 30-04-2018,log.Non.Glyco.Acid.,3.298837034280952
27B-HF | 18-06-2018,log.Non.Glyco.Acid.,2.9095502307289722
27Bb-HF | 18-06-2018,log.Non.Glyco.Acid.,2.950690291157274
29A-HF | 08-05-2018,log.Non.Glyco.Acid.,1.898644051852009
2B_2-DB2 | 12-02-2018,log.Non.Glyco.Acid.,2.401768839376726
31A-HF | 13-08-2018,log.Non.Glyco.Acid.,3.1437506525812347
31Bt-HF | 01-10-2018,log.Non.Glyco.Acid.,2.5103357094234378
32A-HF | 15-05-2018,log.Non.Glyco.Acid.,2.0741104186279165
32Ab- | 15-05-2018,log.Non.Glyco.Acid.,1.9605500198350092
32B-HF | 29-06-2018,log.Non.Glyco.Acid.,2.2071557196178233
33A-HF | 20-08-2018,log.Non.Glyco.Acid.,2.0230886927198135
33B-HF | 08-10-2018,log.Non.Glyco.Acid.,-0.27453401957901435
34B-HF | 14-11-2018,log.Non.Glyco.Acid.,2.5642883964380956
36A-HF | 27-08-2018,log.Non.Glyco.Acid.,2.0525401377402286
36B-HF | 15-10-2018,log.Non.Glyco.Acid.,2.010343688410846
39 post-ConBis  | 23-11-2018,log.Non.Glyco.Acid.,2.4909767003776087
39A-HF | 15-10-2018,log.Non.Glyco.Acid.,2.328461547385607
3A-HF | 28-08-2017,log.Non.Glyco.Acid.,2.1290546231179417
3Ab-HF | 28-08-2017,log.Non.Glyco.Acid.,2.247938055629307
4 post-Conbis  | 13-11-2017,log.Non.Glyco.Acid.,2.5274785513310967
40A-HF | 07-01-2019,log.Non.Glyco.Acid.,2.7709411382381806
40B-HF | 25-02-2019,log.Non.Glyco.Acid.,2.7847064052705877
42B-HF | 19-11-2018,log.Non.Glyco.Acid.,1.8214672486367478
43A-HF | 15-10-2018,log.Non.Glyco.Acid.,2.322338333956644
43B-HF | 05-12-2018,log.Non.Glyco.Acid.,2.522999042300108
44A-HF | 29-10-2018,log.Non.Glyco.Acid.,2.164555388161442
46A-HF | 19-11-2018,log.Non.Glyco.Acid.,3.1322286840152818
46B-HF | 07-01-2019,log.Non.Glyco.Acid.,2.850939181805697
48 post-ConBis  | 21-12-2018,log.Non.Glyco.Acid.,2.124024464645463
48 pre- | 05-11-2018,log.Non.Glyco.Acid.,2.2563566050168538
49A-HF | 05-12-2018,log.Non.Glyco.Acid.,2.7766219565911374
49B-HF | 22-01-2019,log.Non.Glyco.Acid.,1.9341788193053788
4A-HF | 25-09-2017,log.Non.Glyco.Acid.,2.5116379141886718
4Ab-HF | 25-09-2017,log.Non.Glyco.Acid.,2.3939430217370026
50B-HF | 14-01-2019,log.Non.Glyco.Acid.,2.3607412185822403
53 post-ConBis   | 20-02-2019,log.Non.Glyco.Acid.,1.9980146855439862
53A-HF | 02-01-2019,log.Non.Glyco.Acid.,1.7318045450553707
55A-HF | 21-01-2019,log.Non.Glyco.Acid.,2.519932677787602
55B-HF | 25-02-2019,log.Non.Glyco.Acid.,2.921600615563399
5A-HF | 18-09-2017,log.Non.Glyco.Acid.,2.1336595639856495
5B-HF | 06-11-2017,log.Non.Glyco.Acid.,2.172372298885521
7A-CHF | 23-11-2017,log.Non.Glyco.Acid.,1.6549117943895477
8A-HF | 23-10-2017,log.Non.Glyco.Acid.,2.311510489107701
8B-HF | 11-12-2017,log.Non.Glyco.Acid.,2.506745915874045
9A_2-DB2 | 13-08-2018,log.Non.Glyco.Acid.,2.9229415631029383
Glycolysis-CONBIS-29POST-29POST | 25-06-2018,log.Non.Glyco.Acid.,2.501578883803166
Glycolysis-DB-26-26 | 06-12-2017,log.Non.Glyco.Acid.,1.5749850412975794
Glycolysis-DB-26-26 | 19-02-2018,log.Non.Glyco.Acid.,2.6664622133840368
X-HC | 23-10-2017,log.Non.Glyco.Acid.,2.1184030151005757
