Sample,variable,value
10A_1x-DB2 | 16-Oct-18 ,log.Basal.Glyco,0.6624868163569819
9A_4x-DB2 | 17-Sep-18 ,log.Max.Glyco.Cpcty,1.7390515575298835
10A_1x-DB2 | 16-Oct-18 ,log.Glyco.Rsrv.Cpcty,0.77987349940009
10A_1y-DB2 | 16-Oct-18 ,log.Glyco.Rsrv.Cpcty,0.7823872981662099
10A_2x-DB2 | 08-Nov-18 ,log.Glyco.Rsrv.Cpcty,0.696918328685685
10A_2y-DB2 | 08-Nov-18 ,log.Glyco.Rsrv.Cpcty,0.6801934162338168
10A_3x-DB2 | 20-Nov-18 ,log.Glyco.Rsrv.Cpcty,0.6766432640763052
10A_3y-DB2 | 20-Nov-18 ,log.Glyco.Rsrv.Cpcty,0.6237708900018033
10A_4x-DB2 | 14-Dec-18 ,log.Glyco.Rsrv.Cpcty,0.5824627137240066
10A_4y-DB2 | 14-Dec-18 ,log.Glyco.Rsrv.Cpcty,0.5467162378114114
11B_1x-DB2 | 20-Dec-18 ,log.Glyco.Rsrv.Cpcty,0.5824176069225606
11B_1y-DB2 | 20-Dec-18 ,log.Glyco.Rsrv.Cpcty,0.6093409486805506
11B_3x-DB2 | 23-01-2019,log.Glyco.Rsrv.Cpcty,0.6349009321225525
11B_3y-DB2 | 23-01-2019,log.Glyco.Rsrv.Cpcty,0.6964352994509784
11B_4x-DB2 | 18-Feb-19 ,log.Glyco.Rsrv.Cpcty,0.6807074210744033
11B_4y-DB2 | 18-Feb-19 ,log.Glyco.Rsrv.Cpcty,0.7232691791522812
1A_1x-DB2 | 09-10-2017,log.Glyco.Rsrv.Cpcty,0.5037909903311633
1A_1y-DB2 | 09-10-2017,log.Glyco.Rsrv.Cpcty,0.4571437487157808
1A_2x-DB2 | 03-11-2017,log.Glyco.Rsrv.Cpcty,0.4263973198948099
1A_2y-DB2 | 03-11-2017,log.Glyco.Rsrv.Cpcty,0.14502782132496073
1A_3x-DB2 | 14-11-2017,log.Glyco.Rsrv.Cpcty,0.600144311012798
1A_3y-DB2 | 14-11-2017,log.Glyco.Rsrv.Cpcty,0.5870627738764465
1A_4x-DB2 | 07-12-2017,log.Glyco.Rsrv.Cpcty,0.6676024864781134
1A_4y-DB2 | 07-12-2017,log.Glyco.Rsrv.Cpcty,0.6489049845877943
2B_1x-DB2 | 17-01-2018,log.Glyco.Rsrv.Cpcty,0.5295632166925421
2B_1y-DB2 | 17-01-2018,log.Glyco.Rsrv.Cpcty,0.5402510630633457
2B_3x-DB2 | 20-Feb-18 ,log.Glyco.Rsrv.Cpcty,0.4294883037195709
2B_3y-DB2 | 20-Feb-18 ,log.Glyco.Rsrv.Cpcty,0.3909503710521349
2B_4x-DB2 | 15-03-2018,log.Glyco.Rsrv.Cpcty,0.2225923146376454
2B_4y-DB2 | 15-03-2018,log.Glyco.Rsrv.Cpcty,0.18795442402230034
3B_1x-DB2 | 31-01-2018,log.Glyco.Rsrv.Cpcty,0.6437104084190035
3B_1y-DB2 | 31-01-2018,log.Glyco.Rsrv.Cpcty,0.6653995822039644
3B_2x-DB2 | 23-Feb-18 ,log.Glyco.Rsrv.Cpcty,0.6795092602016348
3B_2y-DB2 | 23-Feb-18 ,log.Glyco.Rsrv.Cpcty,0.7254094655086822
3B_3x-DB2 | 07-03-2018,log.Glyco.Rsrv.Cpcty,0.6943909082504227
3B_3y-DB2 | 07-03-2018,log.Glyco.Rsrv.Cpcty,0.6893505324235134
3B_4x-DB2 | 28-03-2018,log.Glyco.Rsrv.Cpcty,0.7181956237899798
3B_4y-DB2 | 28-03-2018,log.Glyco.Rsrv.Cpcty,0.7031613162208106
4A_1x-DB2 | 09-01-2018,log.Glyco.Rsrv.Cpcty,0.6825322424214568
4A_1y-DB2 | 09-01-2018,log.Glyco.Rsrv.Cpcty,0.6048802495090237
4A_3x-DB2 | 13-02-2018,log.Glyco.Rsrv.Cpcty,0.7481230712793439
4A_3y-DB2 | 13-02-2018,log.Glyco.Rsrv.Cpcty,0.740939234124308
4A_4x-DB2 | 09-03-2018,log.Glyco.Rsrv.Cpcty,0.6309567349969467
4A_4y-DB2 | 09-03-2018,log.Glyco.Rsrv.Cpcty,0.7213120475061627
5A_1-DB2 | 27-03-2018,log.Glyco.Rsrv.Cpcty,0.692752322942912
5A_2x-DB2 | 23-04-2018,log.Glyco.Rsrv.Cpcty,0.6318962431389061
5A_2y-DB2 | 23-04-2018,log.Glyco.Rsrv.Cpcty,0.6161485506618236
5A_3-DB2 | 02-05-2018,log.Glyco.Rsrv.Cpcty,0.10285046939008291
5A_4x-DB2 | 25-05-2018,log.Glyco.Rsrv.Cpcty,0.5389425811537776
5A_4y-DB2 | 25-05-2018,log.Glyco.Rsrv.Cpcty,0.55352842073325
6G_1-DB2 | 27-03-2018,log.Glyco.Rsrv.Cpcty,0.7308277801535081
6G_2x-DB2 | 19-04-2018,log.Glyco.Rsrv.Cpcty,0.7242456107598199
6G_2y-DB2 | 19-04-2018,log.Glyco.Rsrv.Cpcty,0.7690513703542279
6G_3-DB2 | 02-05-2018,log.Glyco.Rsrv.Cpcty,0.296952427120031
6G_4x-DB2 | 24-05-2018,log.Glyco.Rsrv.Cpcty,0.7110008715238192
6G_4y-DB2 | 24-05-2018,log.Glyco.Rsrv.Cpcty,0.7142078770383318
7A_2x-DB2 | 17-08-2018,log.Glyco.Rsrv.Cpcty,0.4929906335546588
7A_2y-DB2 | 17-08-2018,log.Glyco.Rsrv.Cpcty,0.48956022280869105
7A_3x-DB2 | 29-08-2018,log.Glyco.Rsrv.Cpcty,0.6766883549606328
7A_3y-DB2 | 29-08-2018,log.Glyco.Rsrv.Cpcty,0.7223700294545807
7A_4x-DB2 | 21-09-2018,log.Glyco.Rsrv.Cpcty,0.5119886600045853
7A_4y-DB2 | 21-09-2018,log.Glyco.Rsrv.Cpcty,0.5451960250708652
9A_1x-DB2 | 02-07-2018,log.Glyco.Rsrv.Cpcty,0.3008426330555656
9A_1y-DB2 | 02-07-2018,log.Glyco.Rsrv.Cpcty,0.2851831584892581
9A_3x-DB2 | 23-Aug-18 ,log.Glyco.Rsrv.Cpcty,0.552004890698202
9A_3y-DB2 | 23-Aug-18 ,log.Glyco.Rsrv.Cpcty,0.5869280366639504
9A_4x-DB2 | 17-Sep-18 ,log.Glyco.Rsrv.Cpcty,0.8472154125522411
10A_1x-DB2 | 16-Oct-18 ,log.Non.Glyco.Acid.,2.6405730677612667
10A_1y-DB2 | 16-Oct-18 ,log.Non.Glyco.Acid.,2.69539665921808
10A_2x-DB2 | 08-Nov-18 ,log.Non.Glyco.Acid.,2.8351419660490853
10A_2y-DB2 | 08-Nov-18 ,log.Non.Glyco.Acid.,2.8784549467689944
10A_3x-DB2 | 20-Nov-18 ,log.Non.Glyco.Acid.,2.7809841476013446
10A_3y-DB2 | 20-Nov-18 ,log.Non.Glyco.Acid.,2.87922872557274
10A_4x-DB2 | 14-Dec-18 ,log.Non.Glyco.Acid.,3.0133764812114023
10A_4y-DB2 | 14-Dec-18 ,log.Non.Glyco.Acid.,2.9794014557945054
11B_1x-DB2 | 20-Dec-18 ,log.Non.Glyco.Acid.,2.8567772083604215
11B_1y-DB2 | 20-Dec-18 ,log.Non.Glyco.Acid.,2.954006922076805
11B_3x-DB2 | 23-01-2019,log.Non.Glyco.Acid.,2.249911618430124
11B_3y-DB2 | 23-01-2019,log.Non.Glyco.Acid.,2.2993224783421913
11B_4x-DB2 | 18-Feb-19 ,log.Non.Glyco.Acid.,2.626755993951047
11B_4y-DB2 | 18-Feb-19 ,log.Non.Glyco.Acid.,2.6556780518751797
1A_1x-DB2 | 09-10-2017,log.Non.Glyco.Acid.,1.9816140491673848
1A_1y-DB2 | 09-10-2017,log.Non.Glyco.Acid.,2.002911341179386
1A_2x-DB2 | 03-11-2017,log.Non.Glyco.Acid.,1.95637581431783
1A_2y-DB2 | 03-11-2017,log.Non.Glyco.Acid.,2.201814884233415
1A_3x-DB2 | 14-11-2017,log.Non.Glyco.Acid.,2.246080413611706
1A_3y-DB2 | 14-11-2017,log.Non.Glyco.Acid.,2.277248780127235
1A_4x-DB2 | 07-12-2017,log.Non.Glyco.Acid.,2.3192789376209157
1A_4y-DB2 | 07-12-2017,log.Non.Glyco.Acid.,2.3768829909849387
2B_1x-DB2 | 17-01-2018,log.Non.Glyco.Acid.,2.0699724200465246
2B_1y-DB2 | 17-01-2018,log.Non.Glyco.Acid.,2.096607877455483
2B_3x-DB2 | 20-Feb-18 ,log.Non.Glyco.Acid.,1.6447612536010312
2B_3y-DB2 | 20-Feb-18 ,log.Non.Glyco.Acid.,1.5582039833686676
2B_4x-DB2 | 15-03-2018,log.Non.Glyco.Acid.,1.7438310023438346
2B_4y-DB2 | 15-03-2018,log.Non.Glyco.Acid.,1.799223550973569
3B_1x-DB2 | 31-01-2018,log.Non.Glyco.Acid.,2.400764991401184
3B_1y-DB2 | 31-01-2018,log.Non.Glyco.Acid.,2.33267999077792
3B_2x-DB2 | 23-Feb-18 ,log.Non.Glyco.Acid.,2.194862180382417
3B_2y-DB2 | 23-Feb-18 ,log.Non.Glyco.Acid.,2.199600277259241
3B_3x-DB2 | 07-03-2018,log.Non.Glyco.Acid.,2.339393707950796
3B_3y-DB2 | 07-03-2018,log.Non.Glyco.Acid.,2.3324421982919024
3B_4x-DB2 | 28-03-2018,log.Non.Glyco.Acid.,2.510627843235673
3B_4y-DB2 | 28-03-2018,log.Non.Glyco.Acid.,2.549813951431922
4A_1x-DB2 | 09-01-2018,log.Non.Glyco.Acid.,1.6735613469096653
4A_1y-DB2 | 09-01-2018,log.Non.Glyco.Acid.,1.7624220144328846
4A_3x-DB2 | 13-02-2018,log.Non.Glyco.Acid.,2.1989355306717333
4A_3y-DB2 | 13-02-2018,log.Non.Glyco.Acid.,2.2612655970982
4A_4x-DB2 | 09-03-2018,log.Non.Glyco.Acid.,2.4284895198716248
4A_4y-DB2 | 09-03-2018,log.Non.Glyco.Acid.,2.5115292854465174
5A_1-DB2 | 27-03-2018,log.Non.Glyco.Acid.,2.554600786005002
5A_2x-DB2 | 23-04-2018,log.Non.Glyco.Acid.,2.8252087143980935
5A_2y-DB2 | 23-04-2018,log.Non.Glyco.Acid.,2.8178942700996767
5A_3-DB2 | 02-05-2018,log.Non.Glyco.Acid.,2.297931961806612
5A_4x-DB2 | 25-05-2018,log.Non.Glyco.Acid.,2.8356826302305467
5A_4y-DB2 | 25-05-2018,log.Non.Glyco.Acid.,2.8040734447364826
6G_1-DB2 | 27-03-2018,log.Non.Glyco.Acid.,2.578801236260784
6G_2x-DB2 | 19-04-2018,log.Non.Glyco.Acid.,2.708489885130117
6G_2y-DB2 | 19-04-2018,log.Non.Glyco.Acid.,2.7387759285226
6G_3-DB2 | 02-05-2018,log.Non.Glyco.Acid.,1.858204014248242
6G_4x-DB2 | 24-05-2018,log.Non.Glyco.Acid.,2.7016492602807425
6G_4y-DB2 | 24-05-2018,log.Non.Glyco.Acid.,2.656587530647218
7A_2x-DB2 | 17-08-2018,log.Non.Glyco.Acid.,2.016134666408023
7A_2y-DB2 | 17-08-2018,log.Non.Glyco.Acid.,2.0394301832802055
7A_3x-DB2 | 29-08-2018,log.Non.Glyco.Acid.,2.690420664415763
7A_3y-DB2 | 29-08-2018,log.Non.Glyco.Acid.,2.66481217217392
7A_4x-DB2 | 21-09-2018,log.Non.Glyco.Acid.,2.9318752217774646
7A_4y-DB2 | 21-09-2018,log.Non.Glyco.Acid.,2.9751793237764224
9A_1x-DB2 | 02-07-2018,log.Non.Glyco.Acid.,1.7115076810202379
9A_1y-DB2 | 02-07-2018,log.Non.Glyco.Acid.,1.782058886399141
9A_3x-DB2 | 23-Aug-18 ,log.Non.Glyco.Acid.,2.580091333057841
9A_3y-DB2 | 23-Aug-18 ,log.Non.Glyco.Acid.,2.6002484498281824
9A_4x-DB2 | 17-Sep-18 ,log.Non.Glyco.Acid.,1.6133525056206568
