Sample,variable,value
10A_1x-DB2 | 16-Oct-18 ,Basal.Resp,34.86731349370255
5A_2y-DB2 | 23-04-2018,Spare.Resp.Cpcty,75.33091958875158
5A_3-DB2 | 02-05-2018,Spare.Resp.Cpcty,-1.1008134294526073
5A_4x-DB2 | 25-05-2018,Spare.Resp.Cpcty,76.29780159021419
5A_4y-DB2 | 25-05-2018,Spare.Resp.Cpcty,74.10970353830155
6G_1-DB2 | 27-03-2018,Spare.Resp.Cpcty,74.24412424044915
6G_2x-DB2 | 19-04-2018,Spare.Resp.Cpcty,82.17864043743037
6G_2y-DB2 | 19-04-2018,Spare.Resp.Cpcty,85.25240642803621
6G_3-DB2 | 02-05-2018,Spare.Resp.Cpcty,-3.503949976562261
6G_4x-DB2 | 24-05-2018,Spare.Resp.Cpcty,63.96208202849233
6G_4y-DB2 | 24-05-2018,Spare.Resp.Cpcty,65.45214013601444
7A_2x-DB2 | 17-08-2018,Spare.Resp.Cpcty,34.83820715592508
7A_2y-DB2 | 17-08-2018,Spare.Resp.Cpcty,40.41320899067234
7A_3x-DB2 | 29-08-2018,Spare.Resp.Cpcty,67.09952349267562
7A_3y-DB2 | 29-08-2018,Spare.Resp.Cpcty,55.169256888462655
7A_4x-DB2 | 21-09-2018,Spare.Resp.Cpcty,76.01062913949775
7A_4y-DB2 | 21-09-2018,Spare.Resp.Cpcty,61.24474110424603
9A_1x-DB2 | 02-07-2018,Spare.Resp.Cpcty,20.336975556987777
9A_1y-DB2 | 02-07-2018,Spare.Resp.Cpcty,19.751444095577785
9A_3x-DB2 | 23-Aug-18 ,Spare.Resp.Cpcty,60.46391558211103
9A_3y-DB2 | 23-Aug-18 ,Spare.Resp.Cpcty,60.14628293750016
9A_4x-DB2 | 17-Sep-18 ,Spare.Resp.Cpcty,46.32776524889489
10A_1x-DB2 | 16-Oct-18 ,Maximal.Resp,103.86713026211767
10A_1y-DB2 | 16-Oct-18 ,Maximal.Resp,96.12204838991127
10A_2x-DB2 | 08-Nov-18 ,Maximal.Resp,113.33557742175755
10A_2y-DB2 | 08-Nov-18 ,Maximal.Resp,110.75174163368902
10A_3x-DB2 | 20-Nov-18 ,Maximal.Resp,114.31004532048182
10A_3y-DB2 | 20-Nov-18 ,Maximal.Resp,112.03819493800479
10A_4x-DB2 | 14-Dec-18 ,Maximal.Resp,147.97276879827544
10A_4y-DB2 | 14-Dec-18 ,Maximal.Resp,147.07462818349995
11B_1x-DB2 | 20-Dec-18 ,Maximal.Resp,124.21216277404014
11B_1y-DB2 | 20-Dec-18 ,Maximal.Resp,120.39314893412764
11B_3x-DB2 | 23-01-2019,Maximal.Resp,95.90207966374392
11B_3y-DB2 | 23-01-2019,Maximal.Resp,79.30175956465591
11B_4x-DB2 | 18-Feb-19 ,Maximal.Resp,107.0892438881399
11B_4y-DB2 | 18-Feb-19 ,Maximal.Resp,103.13142468603019
1A_1x-DB2 | 09-10-2017,Maximal.Resp,70.60249866448403
1A_1y-DB2 | 09-10-2017,Maximal.Resp,75.54226212555324
1A_2x-DB2 | 03-11-2017,Maximal.Resp,73.54240514707101
1A_2y-DB2 | 03-11-2017,Maximal.Resp,53.93805311229381
1A_3x-DB2 | 14-11-2017,Maximal.Resp,91.82876243128666
1A_3y-DB2 | 14-11-2017,Maximal.Resp,83.26107327549454
1A_4x-DB2 | 07-12-2017,Maximal.Resp,92.09385813568815
1A_4y-DB2 | 07-12-2017,Maximal.Resp,94.68514290531333
2B_1x-DB2 | 17-01-2018,Maximal.Resp,71.2968975445568
2B_1y-DB2 | 17-01-2018,Maximal.Resp,65.24107315002452
2B_3x-DB2 | 20-Feb-18 ,Maximal.Resp,57.249703088340894
2B_3y-DB2 | 20-Feb-18 ,Maximal.Resp,58.281476077290044
2B_4x-DB2 | 15-03-2018,Maximal.Resp,41.22295684221828
2B_4y-DB2 | 15-03-2018,Maximal.Resp,35.774398653156695
3B_1x-DB2 | 31-01-2018,Maximal.Resp,67.41812861453025
3B_1y-DB2 | 31-01-2018,Maximal.Resp,35.52511605281762
3B_2x-DB2 | 23-Feb-18 ,Maximal.Resp,86.82529826888621
3B_2y-DB2 | 23-Feb-18 ,Maximal.Resp,72.15548915791487
3B_3x-DB2 | 07-03-2018,Maximal.Resp,98.48219186908658
3B_3y-DB2 | 07-03-2018,Maximal.Resp,91.25989948916227
3B_4x-DB2 | 28-03-2018,Maximal.Resp,107.06752385058294
3B_4y-DB2 | 28-03-2018,Maximal.Resp,100.23798103242166
4A_1x-DB2 | 09-01-2018,Maximal.Resp,54.61075036534565
4A_1y-DB2 | 09-01-2018,Maximal.Resp,52.051234063956464
4A_3x-DB2 | 13-02-2018,Maximal.Resp,74.96593528308074
4A_3y-DB2 | 13-02-2018,Maximal.Resp,68.6279642354533
4A_4x-DB2 | 09-03-2018,Maximal.Resp,94.86124671443199
4A_4y-DB2 | 09-03-2018,Maximal.Resp,101.25656117434818
5A_1-DB2 | 27-03-2018,Maximal.Resp,107.33166840204396
5A_2x-DB2 | 23-04-2018,Maximal.Resp,111.31659977389351
5A_2y-DB2 | 23-04-2018,Maximal.Resp,112.40293571314086
5A_3-DB2 | 02-05-2018,Maximal.Resp,31.2624809708652
5A_4x-DB2 | 25-05-2018,Maximal.Resp,115.54754658318319
5A_4y-DB2 | 25-05-2018,Maximal.Resp,112.10631189722298
6G_1-DB2 | 27-03-2018,Maximal.Resp,109.08585735610968
6G_2x-DB2 | 19-04-2018,Maximal.Resp,126.26302875907348
6G_2y-DB2 | 19-04-2018,Maximal.Resp,127.81852046493222
6G_3-DB2 | 02-05-2018,Maximal.Resp,27.05739299892466
6G_4x-DB2 | 24-05-2018,Maximal.Resp,101.10674142045048
6G_4y-DB2 | 24-05-2018,Maximal.Resp,102.20971304886626
7A_2x-DB2 | 17-08-2018,Maximal.Resp,56.667072226403526
7A_2y-DB2 | 17-08-2018,Maximal.Resp,62.92453562029119
7A_3x-DB2 | 29-08-2018,Maximal.Resp,100.00401185430422
7A_3y-DB2 | 29-08-2018,Maximal.Resp,87.36778837267828
7A_4x-DB2 | 21-09-2018,Maximal.Resp,107.437529079247
7A_4y-DB2 | 21-09-2018,Maximal.Resp,94.35752673169975
9A_1x-DB2 | 02-07-2018,Maximal.Resp,36.225654030414844
9A_1y-DB2 | 02-07-2018,Maximal.Resp,36.21933977125441
9A_3x-DB2 | 23-Aug-18 ,Maximal.Resp,95.84870993632187
9A_3y-DB2 | 23-Aug-18 ,Maximal.Resp,94.13399720549893
9A_4x-DB2 | 17-Sep-18 ,Maximal.Resp,66.23094529534904
10A_1x-DB2 | 16-Oct-18 ,Non.Mito.Resp,11.905459297922505
10A_1y-DB2 | 16-Oct-18 ,Non.Mito.Resp,13.072868483020915
10A_2x-DB2 | 08-Nov-18 ,Non.Mito.Resp,13.591725409240805
10A_2y-DB2 | 08-Nov-18 ,Non.Mito.Resp,14.001892905568788
10A_3x-DB2 | 20-Nov-18 ,Non.Mito.Resp,12.794469546300277
10A_3y-DB2 | 20-Nov-18 ,Non.Mito.Resp,14.583052670291712
10A_4x-DB2 | 14-Dec-18 ,Non.Mito.Resp,21.444504419380525
10A_4y-DB2 | 14-Dec-18 ,Non.Mito.Resp,20.153211635096206
11B_1x-DB2 | 20-Dec-18 ,Non.Mito.Resp,12.047899521968509
11B_1y-DB2 | 20-Dec-18 ,Non.Mito.Resp,14.145114048276936
11B_3x-DB2 | 23-01-2019,Non.Mito.Resp,13.78954732731256
11B_3y-DB2 | 23-01-2019,Non.Mito.Resp,13.12492429287717
11B_4x-DB2 | 18-Feb-19 ,Non.Mito.Resp,11.156762258425799
11B_4y-DB2 | 18-Feb-19 ,Non.Mito.Resp,12.686889145476535
1A_1x-DB2 | 09-10-2017,Non.Mito.Resp,13.116978458194735
1A_1y-DB2 | 09-10-2017,Non.Mito.Resp,13.68861415629515
1A_2x-DB2 | 03-11-2017,Non.Mito.Resp,8.828380179673468
1A_2y-DB2 | 03-11-2017,Non.Mito.Resp,8.582244403234142
1A_3x-DB2 | 14-11-2017,Non.Mito.Resp,14.21398407044279
1A_3y-DB2 | 14-11-2017,Non.Mito.Resp,14.973277543949614
1A_4x-DB2 | 07-12-2017,Non.Mito.Resp,9.916319254925249
1A_4y-DB2 | 07-12-2017,Non.Mito.Resp,10.003140415743918
2B_1x-DB2 | 17-01-2018,Non.Mito.Resp,13.605565274637287
2B_1y-DB2 | 17-01-2018,Non.Mito.Resp,13.93135877125295
2B_3x-DB2 | 20-Feb-18 ,Non.Mito.Resp,10.243199983206068
2B_3y-DB2 | 20-Feb-18 ,Non.Mito.Resp,11.426937086735172
2B_4x-DB2 | 15-03-2018,Non.Mito.Resp,6.55419123524386
2B_4y-DB2 | 15-03-2018,Non.Mito.Resp,7.334934060946443
3B_1x-DB2 | 31-01-2018,Non.Mito.Resp,15.856498976505629
3B_1y-DB2 | 31-01-2018,Non.Mito.Resp,44.59093799499139
3B_2x-DB2 | 23-Feb-18 ,Non.Mito.Resp,15.885585933090761
3B_2y-DB2 | 23-Feb-18 ,Non.Mito.Resp,13.920514374892434
3B_3x-DB2 | 07-03-2018,Non.Mito.Resp,13.320746074957144
3B_3y-DB2 | 07-03-2018,Non.Mito.Resp,14.00355424216717
3B_4x-DB2 | 28-03-2018,Non.Mito.Resp,12.146475439474564
3B_4y-DB2 | 28-03-2018,Non.Mito.Resp,14.834659534319943
4A_1x-DB2 | 09-01-2018,Non.Mito.Resp,9.365507590992149
4A_1y-DB2 | 09-01-2018,Non.Mito.Resp,9.572658714421367
4A_3x-DB2 | 13-02-2018,Non.Mito.Resp,11.22053915500676
4A_3y-DB2 | 13-02-2018,Non.Mito.Resp,12.2710252217495
4A_4x-DB2 | 09-03-2018,Non.Mito.Resp,12.562934982325224
